date,country,region,accomodation type,price,currency,memo
2023/1/31,Uruguay,Colonia del Sacramento,dormitory,17.665,ARS,
2023/2/1,Uruguay,Colonia del Sacramento,dormitory,17.665,ARS,
2023/2/2,Uruguay,Montevideo,dormitory,14.5,USD,
2023/2/3,Uruguay,Montevideo,dormitory,14.5,USD,
2023/2/4,Uruguay,Punta del Este,dormitory,14.4,USD,
2023/2/5,Uruguay,Cabo Polonio,dormitory,13,USD,
2023/2/6,Uruguay,Punta del Diablo,dormitory,18,USD,
2023/2/7,Uruguay,Punta del Diablo,dormitory,18,USD,
2023/2/8,Brazil,Pelotas,dormitory,55,BRL,
2023/2/9,Brazil,Pelotas,dormitory,55,BRL,
2023/2/10,Brazil,Porto Alegre,dormitory,46.8,BRL,
2023/2/11,Brazil,Porto Alegre,dormitory,46.8,BRL,
2023/2/12,Brazil,Criciúma,single room,79,BRL,
2023/2/13,Brazil,Florianópolis,dormitory,45,BRL,
2023/2/14,Brazil,Florianópolis,dormitory,45,BRL,
2023/2/15,Brazil,Blumenau,dormitory,59,BRL,
2023/2/16,Brazil,Curitiba,dormitory,48.13,BRL,
2023/2/17,Brazil,Curitiba,dormitory,48.13,BRL,
2023/2/18,Brazil,Londrina,single room,75,BRL,
2023/2/19,Brazil,Presidente Prudente,single room,75,BRL,
2023/2/20,Brazil,Campo Grande,dormitory,60,BRL,
2023/2/21,Brazil,Campo Grande,dormitory,60,BRL,
2023/2/22,Brazil,Bonito,dormitory,64.8,BRL,
2023/2/23,Brazil,Corumbá,dormitory,63.36,BRL,
2023/2/24,Brazil,Corumbá,dormitory,63.36,BRL,
2023/2/25,Brazil,Campo Grande,single room,80,BRL,
2023/2/26,Brazil,aracatuba,single room,89.1,BRL,
2023/2/27,Brazil,Ribeirão Preto,single room,45,BRL,
2023/2/28,Brazil,Belo Horizonte,dormitory,35,BRL,
2023/3/1,Brazil,Ouro Preto,dormitory,51.6,BRL,
2023/3/2,Brazil,Ouro Preto,dormitory,51.6,BRL,
2023/3/3,Brazil,Belo Horizonte,dormitory,45,BRL,
2023/3/4,Brazil,Campinas,single room,100,BRL,
2023/3/5,Brazil,Campinas,single room,100,BRL,
2023/3/6,-,-,airplane,-,-,-
2023/3/7,Portugal,Lisbon,dormitory,1011,JPY,
2023/3/8,Portugal,Lisbon,dormitory,14.46,EURO,
2023/3/9,Portugal,Lisbon,dormitory,14.46,EURO,
2023/3/10,Portugal,Porto,dormitory,15.3,EURO,
2023/3/11,Spain,Vigo,dormitory,21.6,EURO,
2023/3/12,Spain,Leon,dormitory,22.63,EURO,
2023/3/13,Spain,Madrid,dormitory,15.19,EURO,
2023/3/14,Spain,Madrid,dormitory,15.19,EURO,
2023/3/15,Spain,Madrid,dormitory,15.19,EURO,
2023/3/16,Spain,Madrid,dormitory,15.19,EURO,
2023/3/17,Spain,Córdoba,dormitory,22.76,EURO,
2023/3/18,Spain,Málaga,dormitory,17.1,EURO,
2023/3/19,Spain,Madrid,dormitory,18.2,EURO,
2023/3/20,-,-,airplane,-,-,-
2023/3/21,-,-,airplane,-,-,-
2023/3/22,Japan,Sanda,parents' home,0,JPY,-
2023/3/23,Japan,Sanda,parents' home,0,JPY,-
2023/3/24,Japan,Sanda,parents' home,0,JPY,-
2023/3/25,Japan,Sanda,parents' home,0,JPY,-
2023/3/26,Japan,Sanda,parents' home,0,JPY,-
2023/3/27,Japan,Sanda,parents' home,0,JPY,-
2023/3/28,Japan,Sanda,parents' home,0,JPY,-
2023/3/29,Japan,Sanda,parents' home,0,JPY,-
2023/3/30,Japan,Sanda,parents' home,0,JPY,-
2023/3/31,Japan,Sanda,parents' home,0,JPY,-
2023/4/1,Japan,Sanda,parents' home,0,JPY,-
2023/4/2,Japan,Sanda,parents' home,0,JPY,-
2023/4/3,Japan,Sanda,parents' home,0,JPY,-
2023/4/4,Japan,Sanda,parents' home,0,JPY,-
2023/4/5,Japan,Sanda,parents' home,0,JPY,-
2023/4/6,Japan,Sanda,parents' home,0,JPY,-
2023/4/7,Japan,Sanda,parents' home,0,JPY,-
2023/4/8,Japan,Sanda,parents' home,0,JPY,-
2023/4/9,Japan,Sanda,parents' home,0,JPY,-
2023/4/10,Japan,Sanda,parents' home,0,JPY,-
2023/4/11,Japan,Sanda,parents' home,0,JPY,-
2023/4/12,Japan,Sanda,parents' home,0,JPY,-
2023/4/13,Japan,Sanda,parents' home,0,JPY,-
2023/4/14,Japan,Sanda,parents' home,0,JPY,-
2023/4/15,Japan,Sanda,parents' home,0,JPY,-
2023/4/16,Japan,Sanda,parents' home,0,JPY,-
